Dataset,k,Mean_PSNR,CI_Low,CI_High,Std,N
bossbase,1,51.42089051810607,51.41943279968736,51.42234823652478,0.007309742577775921,100
bossbase,2,45.399144946489926,45.397361592881374,45.40092830009848,0.008942643267978459,100
bossbase,3,39.38081812969193,39.379024240249414,39.38261201913445,0.008995475305420558,100
medical,1,51.42218420391454,51.42055779326801,51.42381061456107,0.008155651324214043,100
medical,2,45.401888135845184,45.4000005906541,45.403775681036265,0.00946511292829562,100
medical,3,39.38032424131923,39.37844063427592,39.38220784836254,0.009445365049628285,100
other,1,51.42096600822751,51.419235228020575,51.42269678843444,0.008633978781559045,99
other,2,45.40026941024813,45.39856957447435,45.401969246021906,0.008479612803588303,99
other,3,39.37980708453769,39.37809118933083,39.381522979744545,0.008559725115901641,99
