Dataset,k,Mean_Var,CI_Low,CI_High,Std
bossbase,1,0.24923447716006195,0.24861111978847175,0.24985783453165214,0.0031258313414980502
bossbase,2,0.24911686863051727,0.24845310951451952,0.24978062774651502,0.0033284262648534515
bossbase,3,0.24832982500709477,0.24694587696560918,0.24971377304858036,0.006939820334593581
medical,1,0.24688640033404227,0.2456639478694122,0.24810885279867234,0.006129999261393568
medical,2,0.2467678826629708,0.24549810370805605,0.24803766161788557,0.00636731838739933
medical,3,0.2463494372453715,0.24501515104818275,0.24768372344256026,0.006690790554158599
other,1,0.2499960586433052,0.24999442015083062,0.2499976971357798,8.173602403456465e-06
other,2,0.2499870521403294,0.24998200589548306,0.24999209838517575,2.5173139116834745e-05
other,3,0.24985872750182875,0.24979081364836683,0.24992664135529066,0.00033878754067978437
